mode_of_travel,purpose,year,number_of_visits,average_annual_growth_2018_22_percent
Air,Holiday,2018,12493,-6
Air,Holiday,2019,13145,-6
Air,Holiday,2020,NA,-6
Air,Holiday,2021,958,-6
Air,Holiday,2022,9758,-6
Air,of which inclusive tour,2018,1326,-14
Air,of which inclusive tour,2019,1776,-14
Air,of which inclusive tour,2020,NA,-14
Air,of which inclusive tour,2021,55,-14
Air,of which inclusive tour,2022,725,-14
Air,Business,2018,6015,-14.8
Air,Business,2019,5804,-14.8
Air,Business,2020,NA,-14.8
Air,Business,2021,586,-14.8
Air,Business,2022,3171,-14.8
Air,Visiting friends or relatives,2018,10640,-1.2
Air,Visiting friends or relatives,2019,10725,-1.2
Air,Visiting friends or relatives,2020,NA,-1.2
Air,Visiting friends or relatives,2021,2919,-1.2
Air,Visiting friends or relatives,2022,10155,-1.2
Air,Miscellaneous,2018,2364,-4.1
Air,Miscellaneous,2019,2462,-4.1
Air,Miscellaneous,2020,NA,-4.1
Air,Miscellaneous,2021,460,-4.1
Air,Miscellaneous,2022,1996,-4.1
Air,All visits,2018,31512,-5.5
Air,All visits,2019,32137,-5.5
Air,All visits,2020,NA,-5.5
Air,All visits,2021,4923,-5.5
Air,All visits,2022,25080,-5.5
Sea and Tunnel,Holiday,2018,3844,-11.7
Sea and Tunnel,Holiday,2019,3760,-11.7
Sea and Tunnel,Holiday,2020,NA,-11.7
Sea and Tunnel,Holiday,2021,217,-11.7
Sea and Tunnel,Holiday,2022,2334,-11.7
Sea and Tunnel,of which inclusive tour,2018,821,-28.8
Sea and Tunnel,of which inclusive tour,2019,802,-28.8
Sea and Tunnel,of which inclusive tour,2020,NA,-28.8
Sea and Tunnel,of which inclusive tour,2021,20,-28.8
Sea and Tunnel,of which inclusive tour,2022,211,-28.8
Sea and Tunnel,Business,2018,2774,-8.1
Sea and Tunnel,Business,2019,2865,-8.1
Sea and Tunnel,Business,2020,NA,-8.1
Sea and Tunnel,Business,2021,637,-8.1
Sea and Tunnel,Business,2022,1978,-8.1
Sea and Tunnel,Visiting friends or relatives,2018,1688,-0.9
Sea and Tunnel,Visiting friends or relatives,2019,1702,-0.9
Sea and Tunnel,Visiting friends or relatives,2020,NA,-0.9
Sea and Tunnel,Visiting friends or relatives,2021,537,-0.9
Sea and Tunnel,Visiting friends or relatives,2022,1625,-0.9
Sea and Tunnel,Miscellaneous,2018,466,-16.5
Sea and Tunnel,Miscellaneous,2019,393,-16.5
Sea and Tunnel,Miscellaneous,2020,NA,-16.5
Sea and Tunnel,Miscellaneous,2021,70,-16.5
Sea and Tunnel,Miscellaneous,2022,226,-16.5
Sea and Tunnel,All visits,2018,8772,-8.4
Sea and Tunnel,All visits,2019,8720,-8.4
Sea and Tunnel,All visits,2020,NA,-8.4
Sea and Tunnel,All visits,2021,1461,-8.4
Sea and Tunnel,All visits,2022,6164,-8.4
Total,Holiday,2018,16337,-7.2
Total,Holiday,2019,16905,-7.2
Total,Holiday,2020,4361.503795033104,-7.2
Total,Holiday,2021,1175,-7.2
Total,Holiday,2022,12092,-7.2
Total,of which inclusive tour,2018,2147,-18.7
Total,of which inclusive tour,2019,2578,-18.7
Total,of which inclusive tour,2020,NA,-18.7
Total,of which inclusive tour,2021,75,-18.7
Total,of which inclusive tour,2022,937,-18.7
Total,Business,2018,8789,-12.5
Total,Business,2019,8670,-12.5
Total,Business,2020,2468.9744398591915,-12.5
Total,Business,2021,1222,-12.5
Total,Business,2022,5149,-12.5
Total,Visiting friends or relatives,2018,12328,-1.1
Total,Visiting friends or relatives,2019,12427,-1.1
Total,Visiting friends or relatives,2020,3446.841067127679,-1.1
Total,Visiting friends or relatives,2021,3456,-1.1
Total,Visiting friends or relatives,2022,11781,-1.1
Total,Miscellaneous,2018,2829,-5.9
Total,Miscellaneous,2019,2855,-5.9
Total,Miscellaneous,2020,823.1878218069038,-5.9
Total,Miscellaneous,2021,530,-5.9
Total,Miscellaneous,2022,2223,-5.9
Total,All visits,2018,40283,-6.2
Total,All visits,2019,40857,-6.2
Total,All visits,2020,11100.507123819907,-6.2
Total,All visits,2021,6384,-6.2
Total,All visits,2022,31244,-6.2
