region,purpose,year,number_of_visits,avg_length_of_stay
North America,Holiday,2018,16144,6.6
North America,Holiday,2019,16952,6.6
North America,Holiday,2020,NA,NA
North America,Holiday,2021,1596.6821278073598,9.133937629603393
North America,Holiday,2022,18519.79964940411,7.300657604188204
North America,of which inclusive tour,2018,2156,6.7
North America,of which inclusive tour,2019,2706,6.4
North America,of which inclusive tour,2020,NA,NA
North America,of which inclusive tour,2021,83.18549615420672,9.519589371255082
North America,of which inclusive tour,2022,1696.6866064485623,7.687995726121358
North America,Business,2018,5028,5.2
North America,Business,2019,4384,5
North America,Business,2020,NA,NA
North America,Business,2021,937.4842508298267,9.777175394260412
North America,Business,2022,4156.989459993463,6.49664044000378
North America,Visiting friends or relatives,2018,15650,10.6
North America,Visiting friends or relatives,2019,13036,9.4
North America,Visiting friends or relatives,2020,NA,NA
North America,Visiting friends or relatives,2021,8532.637979648202,19.529832457850173
North America,Visiting friends or relatives,2022,20419.405197423046,11.70522455916007
North America,Miscellaneous,2018,6005,11.4
North America,Miscellaneous,2019,2488,4.8
North America,Miscellaneous,2020,NA,NA
North America,Miscellaneous,2021,1894.8210459293066,22.542410604322654
North America,Miscellaneous,2022,5673.394903564575,10.088438920255074
North America,All visits,2018,42826,7.9
North America,All visits,2019,36859,6.9
North America,All visits,2020,NA,NA
North America,All visits,2021,12961.625404214665,16.372898750103815
North America,All visits,2022,48769.589210385384,8.893988004894101
Europe,Holiday,2018,48084,4.8
Europe,Holiday,2019,51768,4.9
Europe,Holiday,2020,NA,NA
Europe,Holiday,2021,5844.0356513408315,7.125977899212292
Europe,Holiday,2022,38440.62866490859,4.930961576747591
Europe,of which inclusive tour,2018,6315,4.8
Europe,of which inclusive tour,2019,7820,4.9
Europe,of which inclusive tour,2020,NA,NA
Europe,of which inclusive tour,2021,409.67168874960714,6.74281148875333
Europe,of which inclusive tour,2022,3388.9895908203134,5.53388790719024
Europe,Business,2018,22750,3.4
Europe,Business,2019,22618,3.4
Europe,Business,2020,NA,NA
Europe,Business,2021,6806.63174034247,6.419617165974598
Europe,Business,2022,13916.09216416119,3.4705946254238604
Europe,Visiting friends or relatives,2018,57855,7
Europe,Visiting friends or relatives,2019,56226,6.6
Europe,Visiting friends or relatives,2020,NA,NA
Europe,Visiting friends or relatives,2021,31483.386731404677,12.10048761297275
Europe,Visiting friends or relatives,2022,60410.024812862364,7.65620628063224
Europe,Miscellaneous,2018,15670,9.5
Europe,Miscellaneous,2019,18561,11.6
Europe,Miscellaneous,2020,NA,NA
Europe,Miscellaneous,2021,9985.682864545714,28.41787732283935
Europe,Miscellaneous,2022,15601.74300679238,12.147816064556967
