year,month,all_visits,purpose_of_visit,number_of_visits_thousands
2018,Jan,2734.1272400582307,holiday,790.3988838711409
2018,Jan,2734.1272400582307,business,690.6085080005869
2018,Jan,2734.1272400582307,visiting_friends_or_relatives,1072.642840798868
2018,Jan,2734.1272400582307,miscellaneous,180.47700738763453
2018,Feb,2572.50593446686,holiday,820.3832318206865
2018,Feb,2572.50593446686,business,741.0366777852997
2018,Feb,2572.50593446686,visiting_friends_or_relatives,766.4514619810068
2018,Feb,2572.50593446686,miscellaneous,244.63456287987262
2018,Mar,3240.039947930833,holiday,1166.768138799412
2018,Mar,3240.039947930833,business,887.4828278536497
2018,Mar,3240.039947930833,visiting_friends_or_relatives,964.0461327772098
2018,Mar,3240.039947930833,miscellaneous,221.7428485005614
2018,Apr,3403.904852638703,holiday,1395.5149484602887
2018,Apr,3403.904852638703,business,765.2836764641928
2018,Apr,3403.904852638703,visiting_friends_or_relatives,1027.9816777520143
2018,Apr,3403.904852638703,miscellaneous,215.12454996220703
2018,May,3613.684654627259,holiday,1710.2121124999787
2018,May,3613.684654627259,business,743.1482294151807
2018,May,3613.684654627259,visiting_friends_or_relatives,958.7078049311183
2018,May,3613.684654627259,miscellaneous,201.61650778098164
2018,Jun,3503.2992132571085,holiday,1508.2939154439766
2018,Jun,3503.2992132571085,business,676.7725681309417
2018,Jun,3503.2992132571085,visiting_friends_or_relatives,1099.3600868786575
2018,Jun,3503.2992132571085,miscellaneous,218.87264280353236
2018,Jul,4172.403069918681,holiday,1962.1073866725833
2018,Jul,4172.403069918681,business,724.954129497435
2018,Jul,4172.403069918681,visiting_friends_or_relatives,1158.7128189672037
2018,Jul,4172.403069918681,miscellaneous,326.62873478145855
2018,Aug,4126.496070225113,holiday,1970.5966407917122
2018,Aug,4126.496070225113,business,614.456762624221
2018,Aug,4126.496070225113,visiting_friends_or_relatives,1210.3118704924314
2018,Aug,4126.496070225113,miscellaneous,331.13079631674924
2018,Sep,3237.412895518127,holiday,1316.5791612637258
2018,Sep,3237.412895518127,business,766.1390004673117
2018,Sep,3237.412895518127,visiting_friends_or_relatives,946.01992659121
2018,Sep,3237.412895518127,miscellaneous,208.67480719587968
2018,Oct,3491.3943701425987,holiday,1338.6604834129996
2018,Oct,3491.3943701425987,business,762.9076929450968
2018,Oct,3491.3943701425987,visiting_friends_or_relatives,1121.5632405594968
