region,purpose,year,avg_spending_per_visit,avg_spending_per_day
North America,Holiday,2018,900.8665442961329,137.20458471995158
North America,Holiday,2019,987.0167424319554,149.98389414927746
North America,Holiday,2020,NA,NA
North America,Holiday,2021,1274.1313597650649,139.49420408078586
North America,Holiday,2022,1410.0647507660867,193.1421561199046
North America,of which inclusive tour,2018,1223.2157371529245,182.76980947516168
North America,of which inclusive tour,2019,1170.7344380503678,182.5716019319787
North America,of which inclusive tour,2020,NA,NA
North America,of which inclusive tour,2021,1329.5922373412147,139.66907452499905
North America,of which inclusive tour,2022,2162.0987963299413,281.2304888494955
North America,Business,2018,1135.9432046449429,218.4492957680651
North America,Business,2019,1375.2663822479467,276.77535198940967
North America,Business,2020,NA,NA
North America,Business,2021,1885.4915824816683,192.846247147057
North America,Business,2022,2097.0670253732724,322.7925332700192
North America,Visiting friends or relatives,2018,682.5825427300799,64.10454631024146
North America,Visiting friends or relatives,2019,612.0175654927534,65.30999400456264
North America,Visiting friends or relatives,2020,NA,NA
North America,Visiting friends or relatives,2021,953.4988534479486,48.822684757066725
North America,Visiting friends or relatives,2022,876.545350936466,74.88496666648864
North America,Miscellaneous,2018,703.9411061374334,61.94448299427734
North America,Miscellaneous,2019,570.0475169217277,119.97917174317872
North America,Miscellaneous,2020,NA,NA
North America,Miscellaneous,2021,1306.851657447902,57.97302162517192
North America,Miscellaneous,2022,774.0086009406278,76.72233603819627
North America,All visits,2018,867.6612475809408,109.88554963588933
North America,All visits,2019,915.4302309841859,133.44016877491683
North America,All visits,2020,NA,NA
North America,All visits,2021,1174.7004043293366,71.74663584369189
North America,All visits,2022,1255.2686457307573,141.13675946493518
Europe,Holiday,2018,502.6380919091438,102.86282032668213
Europe,Holiday,2019,539.3079511014832,105.74550412013707
Europe,Holiday,2020,NA,NA
Europe,Holiday,2021,688.1701576079839,96.57203086246655
Europe,Holiday,2022,621.3846226784484,126.01692651766861
Europe,of which inclusive tour,2018,541.2684587861073,113.61296569193443
Europe,of which inclusive tour,2019,572.9109899561485,117.93297607297228
Europe,of which inclusive tour,2020,NA,NA
Europe,of which inclusive tour,2021,650.6694568399041,96.49824230221887
Europe,of which inclusive tour,2022,738.9334895130838,133.5288140825873
Europe,Business,2018,378.1515508338861,111.76543395074334
Europe,Business,2019,425.65488628446764,125.52903838292367
Europe,Business,2020,NA,NA
Europe,Business,2021,567.8221770122863,88.45109643326869
Europe,Business,2022,591.8084784857552,170.52077305440943
Europe,Visiting friends or relatives,2018,328.3220031992246,46.86208226007265
Europe,Visiting friends or relatives,2019,344.7138650980667,52.456890444431366
Europe,Visiting friends or relatives,2020,NA,NA
Europe,Visiting friends or relatives,2021,477.45652146960697,39.45762656355543
Europe,Visiting friends or relatives,2022,404.1120155684153,52.78227894547327
Europe,Miscellaneous,2018,599.3967199000085,62.77165697479785
Europe,Miscellaneous,2019,596.0941336263396,51.192185570988
Europe,Miscellaneous,2020,NA,NA
Europe,Miscellaneous,2021,1223.7426522431417,43.06242293683294
Europe,Miscellaneous,2022,897.5736513755351,73.88765574038759
Europe,All visits,2018,424.36021022240845,77.86074284021572
Europe,All visits,2019,454.58430214038503,82.26595424799122
Europe,All visits,2020,NA,NA
Europe,All visits,2021,587.282605098122,52.452062873327925
Europe,All visits,2022,550.9261390462326,90.04162774034573
- of which EU,Holiday,2018,465.53473033684526,98.21417119548406
- of which EU,Holiday,2019,509.87919372098554,100.3870884703148
- of which EU,Holiday,2020,NA,NA
- of which EU,Holiday,2021,647.8661050181303,92.74703231259677
- of which EU,Holiday,2022,598.1966142429549,121.54531374931256
- of which EU,of which inclusive tour,2018,514.3424898132387,107.84836796721359
- of which EU,of which inclusive tour,2019,552.9670592644112,114.01728314752651
- of which EU,of which inclusive tour,2020,NA,NA
- of which EU,of which inclusive tour,2021,683.2423245667953,99.78234420955083
- of which EU,of which inclusive tour,2022,730.6652330311225,131.37859117700134
- of which EU,Business,2018,357.3112038456671,104.87791999131665
- of which EU,Business,2019,409.8910315466653,118.82856712673932
- of which EU,Business,2020,NA,NA
- of which EU,Business,2021,533.1729535549525,88.26604035447383
- of which EU,Business,2022,580.1873298029972,170.8337462177206
- of which EU,Visiting friends or relatives,2018,320.44347271308845,45.706487880861474
- of which EU,Visiting friends or relatives,2019,324.3190394598975,49.90472998599129
- of which EU,Visiting friends or relatives,2020,NA,NA
- of which EU,Visiting friends or relatives,2021,458.6921629420091,38.502960259458725
- of which EU,Visiting friends or relatives,2022,385.61343305098507,51.47752417066535
- of which EU,Miscellaneous,2018,561.7973177867905,59.69371903853832
- of which EU,Miscellaneous,2019,540.0415377601132,54.8700823367336
- of which EU,Miscellaneous,2020,NA,NA
- of which EU,Miscellaneous,2021,1201.2704956332714,42.78430882367393
- of which EU,Miscellaneous,2022,790.2809854358164,79.28863988842858
- of which EU16,Holiday,2018,467.0459426971931,103.28091059660237
- of which EU16,Holiday,2019,504.6262656755711,103.35258674285527
- of which EU16,Holiday,2020,NA,NA
- of which EU16,Holiday,2021,645.7860578818328,108.21413361170995
- of which EU16,Holiday,2022,603.1845125000569,124.94821600880093
- of which EU17,of which inclusive tour,2018,505.0514307170039,120.17307642448775
- of which EU17,of which inclusive tour,2019,563.1330999224475,123.09850411322424
- of which EU17,of which inclusive tour,2020,NA,NA
- of which EU17,of which inclusive tour,2021,722.6346950889669,109.00440708601266
- of which EU17,of which inclusive tour,2022,747.0185703668047,134.4911244236936
- of which EU18,Business,2018,399.46308571518057,147.99991261509402
- of which EU18,Business,2019,444.2403806840086,148.8531492963638
- of which EU18,Business,2020,NA,NA
- of which EU18,Business,2021,699.1599369407571,111.82716115326197
- of which EU18,Business,2022,712.268032407736,219.81524577120157
- of which EU19,Visiting friends or relatives,2018,309.0961503483843,51.23474842647302
- of which EU19,Visiting friends or relatives,2019,307.93280331554615,54.63454487398713
- of which EU19,Visiting friends or relatives,2020,NA,NA
- of which EU19,Visiting friends or relatives,2021,434.844342020455,40.6540186912451
- of which EU19,Visiting friends or relatives,2022,383.7903170804333,55.141392893124404
- of which EU20,Miscellaneous,2018,526.7178988931357,63.51649637961325
- of which EU20,Miscellaneous,2019,476.25844977615316,56.32685656582759
- of which EU20,Miscellaneous,2020,NA,NA
- of which EU20,Miscellaneous,2021,1211.4361196818631,44.48354270696109
- of which EU20,Miscellaneous,2022,772.359666579411,79.94206524096481
- of which EU21,All visits,2018,410.6237890070967,85.18353577599657
- of which EU21,All visits,2019,429.5983137557578,86.97108122900839
- of which EU21,All visits,2020,NA,NA
- of which EU21,All visits,2021,576.2580511660781,56.05859700555122
