region,purpose,year,spending_million,anuual_growth_2018_22_percent
North America,Holiday,2018,2215,12.728900742132087
North America,Holiday,2019,2542,12.728900742132087
North America,Holiday,2020,NA,12.728900742132087
North America,Holiday,2021,222.727903,12.728900742132087
North America,Holiday,2022,3576.954035194563,12.728900742132087
North America,of which inclusive tour,2018,394,4.902862853342338
North America,of which inclusive tour,2019,494,4.902862853342338
North America,of which inclusive tour,2020,NA,4.902862853342338
North America,of which inclusive tour,2021,11.618441,4.902862853342338
North America,of which inclusive tour,2022,477.16000375592074,4.902862853342338
North America,Business,2018,1098,5.135375607071668
North America,Business,2019,1213,5.135375607071668
North America,Business,2020,NA,5.135375607071668
North America,Business,2021,180.79032,5.135375607071668
North America,Business,2022,1341.845158568059,5.135375607071668
North America,Visiting friends or relatives,2018,1003,11.111985830756034
North America,Visiting friends or relatives,2019,851,11.111985830756034
North America,Visiting friends or relatives,2020,NA,11.111985830756034
North America,Visiting friends or relatives,2021,416.586294,11.111985830756034
North America,Visiting friends or relatives,2022,1529.1064775585496,11.111985830756034
North America,Miscellaneous,2018,372,4.006940924812352
North America,Miscellaneous,2019,298,4.006940924812352
North America,Miscellaneous,2020,NA,4.006940924812352
North America,Miscellaneous,2021,109.848501,4.006940924812352
North America,Miscellaneous,2022,435.27611026867146,4.006940924812352
North America,All visits,2018,4706,10.024004746679328
North America,All visits,2019,4918,10.024004746679328
North America,All visits,2020,NA,10.024004746679328
North America,All visits,2021,931.584068,10.024004746679328
North America,All visits,2022,6896.000646328463,10.024004746679328
Europe,Holiday,2018,5061,-0.5510764888380093
Europe,Holiday,2019,5648,-0.5510764888380093
Europe,Holiday,2020,NA,-0.5510764888380093
Europe,Holiday,2021,617.815149,-0.5510764888380093
Europe,Holiday,2022,4950.781108758772,-0.5510764888380093
Europe,of which inclusive tour,2018,717,-10.882085822422171
Europe,of which inclusive tour,2019,922,-10.882085822422171
Europe,of which inclusive tour,2020,NA,-10.882085822422171
Europe,of which inclusive tour,2021,39.532598,-10.882085822422171
Europe,of which inclusive tour,2022,452.52776100046924,-10.882085822422171
Europe,Business,2018,2543,-1.7122082448948195
Europe,Business,2019,2839,-1.7122082448948195
Europe,Business,2020,NA,-1.7122082448948195
Europe,Business,2021,602.05404,-1.7122082448948195
Europe,Business,2022,2372.9827937291757,-1.7122082448948195
Europe,Visiting friends or relatives,2018,2711,4.137706074570469
Europe,Visiting friends or relatives,2019,2949,4.137706074570469
Europe,Visiting friends or relatives,2020,NA,4.137706074570469
Europe,Visiting friends or relatives,2021,1242.259717,4.137706074570469
Europe,Visiting friends or relatives,2022,3188.578780775463,4.137706074570469
Europe,Miscellaneous,2018,984,4.0466615384388005
Europe,Miscellaneous,2019,950,4.0466615384388005
Europe,Miscellaneous,2020,NA,4.0466615384388005
Europe,Miscellaneous,2021,430.007699,4.0466615384388005
Europe,Miscellaneous,2022,1152.7762162358747,4.0466615384388005
Europe,All visits,2018,11327,0.7744621295556531
Europe,All visits,2019,12407,0.7744621295556531
Europe,All visits,2020,NA,0.7744621295556531
Europe,All visits,2021,2897.270372,0.7744621295556531
Europe,All visits,2022,11682.287982382428,0.7744621295556531
- of which EU,Holiday,2018,4285,-0.42285634868530764
- of which EU,Holiday,2019,4872,-0.42285634868530764
- of which EU,Holiday,2020,NA,-0.42285634868530764
- of which EU,Holiday,2021,473.683116,-0.42285634868530764
- of which EU,Holiday,2022,4212.575730386092,-0.42285634868530764
- of which EU,of which inclusive tour,2018,630,-10.279441308466353
- of which EU,of which inclusive tour,2019,818,-10.279441308466353
- of which EU,of which inclusive tour,2020,NA,-10.279441308466353
- of which EU,of which inclusive tour,2021,36.545055,-10.279441308466353
- of which EU,of which inclusive tour,2022,408.4800162416168,-10.279441308466353
- of which EU,Business,2018,2175,-1.1096753504625134
- of which EU,Business,2019,2473,-1.1096753504625134
- of which EU,Business,2020,NA,-1.1096753504625134
- of which EU,Business,2021,520.165279,-1.1096753504625134
- of which EU,Business,2022,2079.6905006389097,-1.1096753504625134
- of which EU,Visiting friends or relatives,2018,2423,3.623703028430003
- of which EU,Visiting friends or relatives,2019,2543,3.623703028430003
- of which EU,Visiting friends or relatives,2020,NA,3.623703028430003
- of which EU,Visiting friends or relatives,2021,1100.342901,3.623703028430003
- of which EU,Visiting friends or relatives,2022,2793.8291684308,3.623703028430003
- of which EU,Miscellaneous,2018,810,1.4801994686836961
- of which EU,Miscellaneous,2019,756,1.4801994686836961
- of which EU,Miscellaneous,2020,NA,1.4801994686836961
- of which EU,Miscellaneous,2021,365.835002,1.4801994686836961
- of which EU,Miscellaneous,2022,859.5444937841977,1.4801994686836961
- of which EU,All visits,2018,9717,0.6242867039357947
- of which EU,All visits,2019,10661,0.6242867039357947
- of which EU,All visits,2020,NA,0.6242867039357947
- of which EU,All visits,2021,2464.43991,0.6242867039357947
- of which EU,All visits,2022,9961.58854077837,0.6242867039357947
- of which EU16,Holiday,2018,3974,-0.8406129128246786
- of which EU16,Holiday,2019,4285,-0.8406129128246786
- of which EU16,Holiday,2020,NA,-0.8406129128246786
- of which EU16,Holiday,2021,415.504846,-0.8406129128246786
- of which EU16,Holiday,2022,3841.5828566570303,-0.8406129128246786
- of which EU17,of which inclusive tour,2018,566,-9.395580092280431
- of which EU17,of which inclusive tour,2019,711,-9.395580092280431
- of which EU17,of which inclusive tour,2020,NA,-9.395580092280431
- of which EU17,of which inclusive tour,2021,32.730968,-9.395580092280431
- of which EU17,of which inclusive tour,2022,381.5647514436944,-9.395580092280431
- of which EU18,Business,2018,1708,-0.03717135548034767
- of which EU18,Business,2019,1888,-0.03717135548034767
- of which EU18,Business,2020,NA,-0.03717135548034767
- of which EU18,Business,2021,424.717509,-0.03717135548034767
- of which EU18,Business,2022,1705.0930443044742,-0.03717135548034767
- of which EU19,Visiting friends or relatives,2018,1831,5.361608426565034
- of which EU19,Visiting friends or relatives,2019,1954,5.361608426565034
- of which EU19,Visiting friends or relatives,2020,NA,5.361608426565034
- of which EU19,Visiting friends or relatives,2021,872.310449,5.361608426565034
- of which EU19,Visiting friends or relatives,2022,2256.0908822082433,5.361608426565034
- of which EU20,Miscellaneous,2018,671,3.0470588563398904
- of which EU20,Miscellaneous,2019,592,3.0470588563398904
- of which EU20,Miscellaneous,2020,NA,3.0470588563398904
- of which EU20,Miscellaneous,2021,313.332698,3.0470588563398904
- of which EU20,Miscellaneous,2022,756.9892740568099,3.0470588563398904
- of which EU21,All visits,2018,8204,1.104993340460192
- of which EU21,All visits,2019,8733,1.104993340460192
- of which EU21,All visits,2020,NA,1.104993340460192
- of which EU21,All visits,2021,2029.352636,1.104993340460192
- of which EU21,All visits,2022,8572.965183523513,1.104993340460192
- of which EU Oth,Holiday,2018,311,4.502304289960124
- of which EU Oth,Holiday,2019,587,4.502304289960124
- of which EU Oth,Holiday,2020,NA,4.502304289960124
- of which EU Oth,Holiday,2021,58.17827,4.502304289960124
- of which EU Oth,Holiday,2022,370.99287372906537,4.502304289960124
- of which EU Oth,of which inclusive tour,2018,64,-19.526971344111942
- of which EU Oth,of which inclusive tour,2019,107,-19.526971344111942
- of which EU Oth,of which inclusive tour,2020,NA,-19.526971344111942
