region,change_2021_22_million,growth_2021_22_percent,annual_growth_2018_22_percent,years,spending_million
Canada,786,530.5,8.2,2018,681.0262909541253
Canada,786,530.5,8.2,2019,734.3565436736831
Canada,786,530.5,8.2,2020,NA
Canada,786,530.5,8.2,2021,148.190545235128
Canada,786,530.5,8.2,2022,934.2679787689661
USA,5178,661,10.3,2018,4024.925768869063
USA,5178,661,10.3,2019,4184.080852239065
USA,5178,661,10.3,2020,NA
USA,5178,661,10.3,2021,783.3935227698177
USA,5178,661,10.3,2022,5961.732667559488
North America,5964,640.2,10,2018,4705.952059823186
North America,5964,640.2,10,2019,4918.43739591275
North America,5964,640.2,10,2020,NA
North America,5964,640.2,10,2021,931.5840680049458
North America,5964,640.2,10,2022,6896.000646328463
Austria,155,530.8,5.4,2018,148.99059360325316
Austria,155,530.8,5.4,2019,171.67923079114243
Austria,155,530.8,5.4,2020,NA
Austria,155,530.8,5.4,2021,29.198664086043586
Austria,155,530.8,5.4,2022,184.18623969107836
Belgium,283,236.3,0.9,2018,388.7417698501873
Belgium,283,236.3,0.9,2019,359.2120852542725
Belgium,283,236.3,0.9,2020,NA
Belgium,283,236.3,0.9,2021,119.6684778894462
Belgium,283,236.3,0.9,2022,402.488743406533
Bulgaria,75,200.2,2.5,2018,102.62681320370325
Bulgaria,75,200.2,2.5,2019,169.5080621784505
Bulgaria,75,200.2,2.5,2020,NA
Bulgaria,75,200.2,2.5,2021,37.69991393142363
Bulgaria,75,200.2,2.5,2022,113.17914231485933
Czech Republic,128,623.4,8.7,2018,106.48662807719198
Czech Republic,128,623.4,8.7,2019,164.64428032998717
Czech Republic,128,623.4,8.7,2020,NA
Czech Republic,128,623.4,8.7,2021,20.560926721202893
Czech Republic,128,623.4,8.7,2022,148.73723227256886
Cyprus,73,226.7,11.7,2018,67.36611083351019
Cyprus,73,226.7,11.7,2019,107.19829069311403
Cyprus,73,226.7,11.7,2020,NA
Cyprus,73,226.7,11.7,2021,32.11818029839529
Cyprus,73,226.7,11.7,2022,104.94333822878548
Denmark,247,395,-0.9,2018,320.62067531954347
Denmark,247,395,-0.9,2019,328.79420225756957
Denmark,247,395,-0.9,2020,NA
Denmark,247,395,-0.9,2021,62.42173471500149
Denmark,247,395,-0.9,2022,309.00354772028743
Finland,95,539.2,2.5,2018,102.46710123662997
Finland,95,539.2,2.5,2019,121.95268448466017
Finland,95,539.2,2.5,2020,NA
Finland,95,539.2,2.5,2021,17.69912045445992
Finland,95,539.2,2.5,2022,113.13189367503766
France,1155,274.6,4,2018,1346.7941950316267
France,1155,274.6,4,2019,1397.8928011585836
France,1155,274.6,4,2020,NA
France,1155,274.6,4,2021,420.41301096905187
France,1155,274.6,4,2022,1575.0314186579678
Germany,1156,491.3,-1.6,2018,1482.640868904677
Germany,1156,491.3,-1.6,2019,1567.2823740919596
Germany,1156,491.3,-1.6,2020,NA
Germany,1156,491.3,-1.6,2021,235.3784385737228
Germany,1156,491.3,-1.6,2022,1391.8103959541836
Greece,70,96.7,2.2,2018,130.77645149725993
Greece,70,96.7,2.2,2019,170.04893983362948
Greece,70,96.7,2.2,2020,NA
Greece,70,96.7,2.2,2021,72.48288812207898
Greece,70,96.7,2.2,2022,142.60636592538353
Hungary,67,316.5,-7,2018,118.34635561288927
Hungary,67,316.5,-7,2019,144.69284448495281
