mode_of_travel,purpose,year,total_spending_million,average_annual_growth_2018_22_percent
Air,Holiday,2018,10287,-1.7
Air,Holiday,2019,11198,-1.7
Air,Holiday,2020,NA,-1.7
Air,Holiday,2021,1083,-1.7
Air,Holiday,2022,9613,-1.7
Air,of which inclusive tour,2018,1290,-7.5
Air,of which inclusive tour,2019,1568,-7.5
Air,of which inclusive tour,2020,NA,-7.5
Air,of which inclusive tour,2021,54,-7.5
Air,of which inclusive tour,2022,946,-7.5
Air,Business,2018,4545,-1.3
Air,Business,2019,5165,-1.3
Air,Business,2020,NA,-1.3
Air,Business,2021,751,-1.3
Air,Business,2022,4308,-1.3
Air,Visiting friends or relatives,2018,5667,4.4
Air,Visiting friends or relatives,2019,5855,4.4
Air,Visiting friends or relatives,2020,NA,4.4
Air,Visiting friends or relatives,2021,2143,4.4
Air,Visiting friends or relatives,2022,6728,4.4
Air,Miscellaneous,2018,2712,-5.5
Air,Miscellaneous,2019,2677,-5.5
Air,Miscellaneous,2020,NA,-5.5
Air,Miscellaneous,2021,931,-5.5
Air,Miscellaneous,2022,2159,-5.5
Air,All visits,2018,23265,-0.5
Air,All visits,2019,24933,-0.5
Air,All visits,2020,NA,-0.5
Air,All visits,2021,4915,-0.5
Air,All visits,2022,22845,-0.5
Sea and Tunnel,Holiday,2018,1907,0.6
Sea and Tunnel,Holiday,2019,2143,0.6
Sea and Tunnel,Holiday,2020,NA,0.6
Sea and Tunnel,Holiday,2021,202,0.6
Sea and Tunnel,Holiday,2022,1953,0.6
Sea and Tunnel,of which inclusive tour,2018,358,-14.7
Sea and Tunnel,of which inclusive tour,2019,420,-14.7
Sea and Tunnel,of which inclusive tour,2020,NA,-14.7
Sea and Tunnel,of which inclusive tour,2021,13,-14.7
Sea and Tunnel,of which inclusive tour,2022,190,-14.7
Sea and Tunnel,Business,2018,571,4.2
Sea and Tunnel,Business,2019,658,4.2
Sea and Tunnel,Business,2020,NA,4.2
Sea and Tunnel,Business,2021,188,4.2
Sea and Tunnel,Business,2022,674,4.2
Sea and Tunnel,Visiting friends or relatives,2018,566,10
Sea and Tunnel,Visiting friends or relatives,2019,553,10
Sea and Tunnel,Visiting friends or relatives,2020,NA,10
Sea and Tunnel,Visiting friends or relatives,2021,252,10
Sea and Tunnel,Visiting friends or relatives,2022,830,10
Sea and Tunnel,Miscellaneous,2018,195,-0.3
Sea and Tunnel,Miscellaneous,2019,158,-0.3
Sea and Tunnel,Miscellaneous,2020,NA,-0.3
Sea and Tunnel,Miscellaneous,2021,90,-0.3
Sea and Tunnel,Miscellaneous,2022,193,-0.3
Sea and Tunnel,All visits,2018,3242,3
Sea and Tunnel,All visits,2019,3515,3
Sea and Tunnel,All visits,2020,NA,3
Sea and Tunnel,All visits,2021,732,3
Sea and Tunnel,All visits,2022,3651,3
Total,Holiday,2018,12194,-1.3
Total,Holiday,2019,13341,-1.3
Total,Holiday,2020,NA,-1.3
Total,Holiday,2021,1284,-1.3
Total,Holiday,2022,11567,-1.3
Total,of which inclusive tour,2018,1648,-8.9
Total,of which inclusive tour,2019,1987,-8.9
Total,of which inclusive tour,2020,NA,-8.9
Total,of which inclusive tour,2021,67,-8.9
Total,of which inclusive tour,2022,1136,-8.9
Total,Business,2018,5115,-0.7
Total,Business,2019,5823,-0.7
Total,Business,2020,NA,-0.7
Total,Business,2021,939,-0.7
Total,Business,2022,4982,-0.7
Total,Visiting friends or relatives,2018,6233,4.9
Total,Visiting friends or relatives,2019,6408,4.9
Total,Visiting friends or relatives,2020,NA,4.9
Total,Visiting friends or relatives,2021,2395,4.9
Total,Visiting friends or relatives,2022,7558,4.9
Total,Miscellaneous,2018,2907,-5.2
Total,Miscellaneous,2019,2836,-5.2
Total,Miscellaneous,2020,NA,-5.2
Total,Miscellaneous,2021,1021,-5.2
Total,Miscellaneous,2022,2351,-5.2
Total,All visits,2018,26508,0
Total,All visits,2019,28448,0
Total,All visits,2020,6210,0
Total,All visits,2021,5646,0
Total,All visits,2022,26497,0
