length_of_stay,purpose,year,number_of_visits,spending_million
Nil Stay,Total Holiday,2018,443.34853582755767,39.62921202695019
Nil Stay,Total Holiday,2019,359.15623253030856,69.93418836183433
Nil Stay,Total Holiday,2020,NA,NA
Nil Stay,Total Holiday,2021,15.825107868466906,1.8313269491864743
Nil Stay,Total Holiday,2022,164.9784788633024,20.493161451505053
Nil Stay,of which inclusive tour,2018,NA,NA
Nil Stay,of which inclusive tour,2019,NA,NA
Nil Stay,of which inclusive tour,2020,NA,NA
Nil Stay,of which inclusive tour,2021,NA,NA
Nil Stay,of which inclusive tour,2022,NA,NA
Nil Stay,Business,2018,872.7970536199791,62.385192261191314
Nil Stay,Business,2019,809.9333081534994,73.10091881682575
Nil Stay,Business,2020,NA,NA
Nil Stay,Business,2021,53.02131520846094,5.204965071747231
Nil Stay,Business,2022,201.4225582787827,21.33153153886581
Nil Stay,Visiting friends or relatives,2018,91.47908683539588,10.961884174466167
Nil Stay,Visiting friends or relatives,2019,110.22666924711702,9.084236319551989
Nil Stay,Visiting friends or relatives,2020,NA,NA
Nil Stay,Visiting friends or relatives,2021,15.068933239112768,2.3543740758398513
Nil Stay,Visiting friends or relatives,2022,77.11456897301176,13.201359230503016
Nil Stay,Miscellanous,2018,211.40664050785014,44.94530055074936
Nil Stay,Miscellanous,2019,160.15650780268388,20.312006796944384
Nil Stay,Miscellanous,2020,NA,NA
Nil Stay,Miscellanous,2021,13.371901427406652,5.603464251034487
Nil Stay,Miscellanous,2022,59.97844142834062,8.088111601355683
Nil Stay,All visits,2018,1619.031316790778,217.05890081734523
Nil Stay,All visits,2019,1439.4727177336083,213.78636407884358
Nil Stay,All visits,2020,NA,NA
Nil Stay,All visits,2021,97.28725774344728,22.467285918833237
Nil Stay,All visits,2022,503.4940475434369,102.1725683319211
1-3 nights,1-3 nights,2018,NA,NA
1-3 nights,1-3 nights,2019,NA,NA
1-3 nights,1-3 nights,2020,NA,NA
1-3 nights,1-3 nights,2021,NA,NA
1-3 nights,1-3 nights,2022,NA,NA
1-3 nights,Total Holiday,2018,6016.775123636483,2590.890122454091
1-3 nights,Total Holiday,2019,6228.094008643762,2740.8692397560953
1-3 nights,Total Holiday,2020,NA,NA
1-3 nights,Total Holiday,2021,432.50768823180556,250.2301896664132
1-3 nights,Total Holiday,2022,4535.081053550553,2324.5832927822294
1-3 nights,of which inclusive tour,2018,905.1443227529006,366.6282888293996
1-3 nights,of which inclusive tour,2019,1024.0974430436788,433.41652597001655
1-3 nights,of which inclusive tour,2020,NA,NA
1-3 nights,of which inclusive tour,2021,34.198907935136496,18.447892020598502
1-3 nights,of which inclusive tour,2022,326.2036254053633,183.06314757621774
1-3 nights,Business,2018,5273.668539413962,1882.9119925380128
1-3 nights,Business,2019,5385.935248704155,2190.7245377939535
1-3 nights,Business,2020,NA,NA
1-3 nights,Business,2021,740.5155434766808,219.0284282265862
1-3 nights,Business,2022,3175.473873336633,1593.7294687954854
1-3 nights,Visiting friends or relatives,2018,3337.5193280728913,870.354063249881
1-3 nights,Visiting friends or relatives,2019,3836.3025046932958,1054.2531036428738
1-3 nights,Visiting friends or relatives,2020,NA,NA
1-3 nights,Visiting friends or relatives,2021,709.3487206544249,207.31993661857805
1-3 nights,Visiting friends or relatives,2022,2867.9310931551368,898.5754537044655
1-3 nights,Miscellanous,2018,1566.8973640619186,400.67426345434893
1-3 nights,Miscellanous,2019,1588.6932385105476,432.8133543199934
1-3 nights,Miscellanous,2020,NA,NA
1-3 nights,Miscellanous,2021,246.3824939935704,78.74618604742876
1-3 nights,Miscellanous,2022,1349.6673714427507,440.81738553650416
1-3 nights,All visits,2018,16194.86035518512,5744.830441696317
1-3 nights,All visits,2019,17039.025000551846,6418.6602355129235
1-3 nights,All visits,2020,NA,NA
1-3 nights,All visits,2021,2128.754446356481,755.3247405590054
1-3 nights,All visits,2022,11928.153391485115,5257.7056008187
4-13 nights,Total Holiday,2018,8503.403095088468,7290.606040140323
4-13 nights,Total Holiday,2019,8877.966677791926,7990.17397687166
4-13 nights,Total Holiday,2020,NA,NA
4-13 nights,Total Holiday,2021,563.8242546379167,610.6414658787928
4-13 nights,Total Holiday,2022,6326.50075873818,6866.113024141114
4-13 nights,of which inclusive tour,2018,1111.2980046049267,996.2274653106693
4-13 nights,of which inclusive tour,2019,1355.837838475082,1180.8083380927478
4-13 nights,of which inclusive tour,2020,NA,NA
4-13 nights,of which inclusive tour,2021,32.417310685700144,33.97946287433351
4-13 nights,of which inclusive tour,2022,525.7047733178174,712.3914224090103
4-13 nights,Business,2018,2296.7973871352524,2328.5090438987445
4-13 nights,Business,2019,2114.195332077181,2535.835602455853
4-13 nights,Business,2020,NA,NA
4-13 nights,Business,2021,296.70010476173286,326.8979219316803
4-13 nights,Business,2022,1523.5120579130512,2382.0729357506943
4-13 nights,Visiting friends or relatives,2018,6534.78284167197,2992.653001778149
4-13 nights,Visiting friends or relatives,2019,6373.005188289885,3060.921803710436
4-13 nights,Visiting friends or relatives,2020,NA,NA
