length_of_stay,region,year,number_of_visits,spending_million
Nil Stay,North America,2018,48.31640827293651,20.247033552829777
Nil Stay,North America,2019,53.813330682409855,16.51675976736556
Nil Stay,North America,2020,NA,NA
Nil Stay,North America,2021,6.628572242631494,3.8325046966576974
Nil Stay,North America,2022,31.424639329552495,20.705985041107674
Nil Stay,Europe,2018,1505.4680162191921,164.94179521682133
Nil Stay,Europe,2019,1302.1021445284434,161.06049143102388
Nil Stay,Europe,2020,NA,NA
Nil Stay,Europe,2021,88.96977399508997,15.664897100030723
Nil Stay,Europe,2022,447.8073361801128,66.59959773580432
Nil Stay,- of which EU,2018,1435.244143849166,154.00756834950178
Nil Stay,- of which EU,2019,1224.6227966830754,142.57971724979004
Nil Stay,- of which EU,2020,NA,NA
Nil Stay,- of which EU,2021,86.01208412301227,14.81204690475669
Nil Stay,- of which EU,2022,422.11863926002405,62.46313095984627
Nil Stay,- of which EU15,2018,1354.3366423238942,149.0420725540295
Nil Stay,- of which EU15,2019,1142.2938330889374,134.47484105112844
Nil Stay,- of which EU15,2020,NA,NA
Nil Stay,- of which EU15,2021,78.54293873773392,13.64783861388538
Nil Stay,- of which EU15,2022,371.15545746529335,56.184764005805
Nil Stay,- of which EU Oth,2018,80.9075015252715,4.9654957954723695
Nil Stay,- of which EU Oth,2019,82.32896359413714,8.10487619866159
Nil Stay,- of which EU Oth,2020,NA,NA
Nil Stay,- of which EU Oth,2021,7.469145385278381,1.164208290871301
Nil Stay,- of which EU Oth,2022,50.96318179473058,6.278366954041272
Nil Stay,Other Countries,2018,65.24689229865,31.870072047694247
Nil Stay,Other Countries,2019,83.55724252275694,36.20911288045414
Nil Stay,Other Countries,2020,NA,NA
Nil Stay,Other Countries,2021,1.688911505725819,2.96988412214485
Nil Stay,Other Countries,2022,24.262072033771656,14.866985555009302
Nil Stay,Total World,2018,1619.031316790778,217.05890081734523
Nil Stay,Total World,2019,1439.4727177336083,213.78636407884358
Nil Stay,Total World,2020,NA,NA
Nil Stay,Total World,2021,97.28725774344728,22.467285918833237
Nil Stay,Total World,2022,503.4940475434369,102.1725683319211
1-3 nights,North America,2018,1725.884676860043,768.9733752377632
1-3 nights,North America,2019,1831.947271068657,870.3881667406512
1-3 nights,North America,2020,NA,NA
1-3 nights,North America,2021,155.24628195680705,76.20528063931995
1-3 nights,North America,2022,1499.7406305379982,887.1470165948097
1-3 nights,Europe,2018,12737.454967694024,4012.4096843251923
1-3 nights,Europe,2019,13485.34137271106,4436.075746855939
1-3 nights,Europe,2020,NA,NA
1-3 nights,Europe,2021,1905.5630328853822,634.4693206597452
1-3 nights,Europe,2022,9671.796395871732,3828.7439194984063
1-3 nights,- of which EU,2018,11574.719484483698,3481.4225121678924
1-3 nights,- of which EU,2019,12303.82269085605,3871.774025355992
1-3 nights,- of which EU,2020,NA,NA
1-3 nights,- of which EU,2021,1750.1634931515757,571.8268508354306
1-3 nights,- of which EU,2022,8815.671109512312,3388.999421547157
1-3 nights,- of which EU15,2018,9540.763588185855,3163.653806567776
1-3 nights,- of which EU15,2019,10015.689945859614,3398.152884973052
1-3 nights,- of which EU15,2020,NA,NA
1-3 nights,- of which EU15,2021,1334.450613492202,507.72045573370985
1-3 nights,- of which EU15,2022,7304.251406838533,3068.7612071555063
1-3 nights,- of which EU Oth,2018,2033.9558962979104,317.76870560012026
1-3 nights,- of which EU Oth,2019,2288.1327449963856,473.62114038294266
1-3 nights,- of which EU Oth,2020,NA,NA
1-3 nights,- of which EU Oth,2021,415.7128796593745,64.10639510172098
1-3 nights,- of which EU Oth,2022,1511.4197026737709,320.23821439165545
1-3 nights,Other Countries,2018,1731.520710631045,963.4473821333874
1-3 nights,Other Countries,2019,1721.7363567721145,1112.1963219163158
1-3 nights,Other Countries,2020,NA,NA
1-3 nights,Other Countries,2021,67.94513151429209,44.65013925994087
